City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dingle,PH,78.17,broken clouds,10.9995,122.6711,
1,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,
5,Hobart,AU,75.0,scattered clouds,-42.8794,147.3294,
13,New Norfolk,AU,75.0,clear sky,-42.7826,147.0587,
14,Rikitea,PF,79.57,clear sky,-23.1203,-134.9692,
19,Mozarlandia,BR,75.52,overcast clouds,-14.7447,-50.5706,
20,Vaini,TO,86.0,broken clouds,-21.2,-175.2,
23,Yulara,AU,87.8,broken clouds,-25.2406,130.9889,
32,Ballina,AU,80.6,broken clouds,-28.8667,153.5667,
36,Mahanoro,MG,75.79,few clouds,-19.9,48.8,
40,Harper,LR,78.69,few clouds,4.375,-7.7169,
41,Atuona,PF,79.21,broken clouds,-9.8,-139.0333,
42,Busselton,AU,79.0,clear sky,-33.65,115.3333,
43,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,
47,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,
48,Siparia,TT,75.99,broken clouds,10.1333,-61.5,
58,Kapaa,US,78.8,broken clouds,22.0752,-159.319,
65,Matara,LK,75.18,clear sky,5.9485,80.5353,
69,Port Macquarie,AU,84.99,broken clouds,-31.4333,152.9167,
72,Butaritari,KI,81.32,scattered clouds,3.0707,172.7902,
77,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,
78,Hilo,US,80.6,broken clouds,19.7297,-155.09,
88,Isangel,VU,82.94,few clouds,-19.55,169.2667,
93,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,
94,Gamba,GA,76.89,moderate rain,-2.65,10.0,
100,Port Blair,IN,79.09,clear sky,11.6667,92.75,
101,Inhambane,MZ,78.12,clear sky,-23.865,35.3833,
102,Kieta,PG,84.02,overcast clouds,-6.2167,155.6333,
103,Tual,ID,83.46,broken clouds,-5.6667,132.75,
109,Kalmunai,LK,76.77,overcast clouds,7.4167,81.8167,
112,Kulhudhuffushi,MV,81.32,clear sky,6.6221,73.07,
115,Sibolga,ID,77.27,broken clouds,1.7427,98.7792,
116,Salinopolis,BR,79.61,overcast clouds,-0.6136,-47.3561,
118,Charters Towers,AU,83.75,overcast clouds,-20.1,146.2667,
121,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,
127,Waingapu,ID,80.35,heavy intensity rain,-9.6567,120.2641,
130,Manggar,ID,81.36,overcast clouds,-2.8833,108.2667,
133,Nueva Loja,EC,82.4,few clouds,0.0847,-76.8828,
139,Cidreira,BR,75.67,overcast clouds,-30.1811,-50.2056,
145,San Patricio,US,75.2,clear sky,28.017,-97.5169,
146,Gizo,SB,86.25,overcast clouds,-8.103,156.8419,
160,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,
164,Kudahuvadhoo,MV,81.19,scattered clouds,2.6708,72.8944,
166,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,
172,Faanui,PF,81.79,overcast clouds,-16.4833,-151.75,
181,Touros,BR,78.8,few clouds,-5.1989,-35.4608,
188,Nisia Floresta,BR,78.8,few clouds,-6.0911,-35.2086,
189,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,
190,Palmas,BR,75.2,few clouds,-10.2128,-48.3603,
192,Alofi,NU,82.4,moderate rain,-19.0595,-169.9187,
193,Marawi,PH,80.01,scattered clouds,7.9986,124.2928,
