City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dingle,PH,10.9995,122.6711,78.17,80,81,16.46,broken clouds
1,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,17.27,scattered clouds
2,Ribeira Grande,PT,38.5167,-28.7,63.12,91,94,21.79,overcast clouds
3,Qaanaaq,GL,77.484,-69.3632,-5.67,80,100,2.84,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,51.8,62,0,26.46,clear sky
5,Hobart,AU,-42.8794,147.3294,75.0,40,40,10.36,scattered clouds
6,Saldanha,ZA,-33.0117,17.9442,63.68,93,0,1.54,clear sky
7,Cape Town,ZA,-33.9258,18.4232,71.01,77,75,5.75,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,62.01,92,0,1.99,clear sky
9,Ushuaia,AR,-54.8,-68.3,51.8,62,20,21.85,few clouds
10,Beringovskiy,RU,63.05,179.3167,7.25,94,100,28.16,snow
11,Chapais,CA,49.7834,-74.8492,-4.0,77,90,6.91,overcast clouds
12,Pangnirtung,CA,66.1451,-65.7125,-8.37,75,88,2.39,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,75.0,26,4,4.0,clear sky
14,Rikitea,PF,-23.1203,-134.9692,79.57,70,0,10.74,clear sky
15,Jamestown,US,42.097,-79.2353,18.0,86,1,3.44,clear sky
16,Yellowknife,CA,62.456,-114.3525,-13.0,77,20,4.61,few clouds
17,Limoges,FR,45.75,1.3333,45.0,100,90,9.22,overcast clouds
18,Bluff,NZ,-46.6,168.3333,58.46,66,95,7.52,overcast clouds
19,Mozarlandia,BR,-14.7447,-50.5706,75.52,80,100,0.38,overcast clouds
20,Vaini,TO,-21.2,-175.2,86.0,79,75,13.8,broken clouds
21,Victoria,HK,22.2855,114.1577,64.0,63,0,1.01,clear sky
22,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,75,16.11,broken clouds
23,Yulara,AU,-25.2406,130.9889,87.8,23,79,18.41,broken clouds
24,Provideniya,RU,64.3833,-173.3,-9.26,83,100,13.06,overcast clouds
25,Vila,PT,42.0304,-8.1588,46.99,89,100,10.0,light rain
26,Albany,US,42.6001,-73.9662,17.01,59,1,7.65,clear sky
27,Yar-Sale,RU,66.8333,70.8333,-17.63,86,100,17.9,overcast clouds
28,Thompson,CA,55.7435,-97.8558,14.0,92,90,2.3,light snow
29,Grindavik,IS,63.8424,-22.4338,21.2,73,0,6.91,clear sky
30,Eureka,US,40.8021,-124.1637,53.01,87,90,3.44,overcast clouds
31,Magway,MM,20.15,94.9167,63.19,55,75,1.61,broken clouds
32,Ballina,AU,-28.8667,153.5667,80.6,69,75,10.36,broken clouds
33,Qaqortoq,GL,60.7167,-46.0333,39.2,28,75,33.38,broken clouds
34,Lompoc,US,34.6391,-120.4579,55.99,67,1,12.66,clear sky
35,Mataura,NZ,-46.1927,168.8643,72.55,36,98,3.22,overcast clouds
36,Mahanoro,MG,-19.9,48.8,75.79,87,24,3.38,few clouds
37,San Quintin,MX,30.4833,-115.95,58.59,69,0,11.27,clear sky
38,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.41,94,100,1.81,moderate rain
39,Longyearbyen,SJ,78.2186,15.6401,-5.8,65,20,19.57,few clouds
40,Harper,LR,4.375,-7.7169,78.69,88,22,8.59,few clouds
41,Atuona,PF,-9.8,-139.0333,79.21,73,61,17.56,broken clouds
42,Busselton,AU,-33.65,115.3333,79.0,53,0,8.23,clear sky
